,Daytime_Routes,Complex_ID,Complex_ID_Next,GTFS_Latitude_Next,GTFS_Longitude_Next,GTFS_Latitude,GTFS_Longitude,Stop_Name,Stop_Name_Next
0,N W,2,1,40.775036,-73.912034,40.770258,-73.917843,Astoria Blvd,Astoria-Ditmars Blvd
1,N W,3,2,40.770258,-73.917843,40.766779,-73.921479,30 Av,Astoria Blvd
2,N W,4,3,40.766779,-73.921479,40.76182,-73.925508,Broadway,30 Av
3,N W,5,4,40.76182,-73.925508,40.756804,-73.929575,36 Av,Broadway
4,N W,6,5,40.756804,-73.929575,40.752882,-73.932755,39 Av-Dutch Kills,36 Av
5,N R W,613,6,40.752882,-73.932755,40.76266,-73.967258,Lexington Av/59 St,39 Av-Dutch Kills
6,N R W,8,613,40.76266,-73.967258,40.764811,-73.973347,5 Av/59 St,Lexington Av/59 St
7,N Q R W,9,8,40.764811,-73.973347,40.764664,-73.980658,57 St-7 Av,5 Av/59 St
8,N R W,10,9,40.764664,-73.980658,40.759901,-73.984139,49 St,57 St-7 Av
9,N Q R W,611,10,40.759901,-73.984139,40.754672,-73.986754,Times Sq-42 St,49 St
10,N Q R W,607,611,40.754672,-73.986754,40.749567,-73.98795,34 St-Herald Sq,Times Sq-42 St
11,R W,13,607,40.749567,-73.98795,40.745494,-73.988691,28 St,34 St-Herald Sq
12,R W,14,13,40.745494,-73.988691,40.741303,-73.989344,23 St,28 St
13,N Q R W,602,14,40.741303,-73.989344,40.735736,-73.990568,14 St-Union Sq,23 St
14,R W,16,602,40.735736,-73.990568,40.730328,-73.992629,8 St-NYU,14 St-Union Sq
15,R W,17,16,40.730328,-73.992629,40.724329,-73.997702,Prince St,8 St-NYU
16,R W,623,17,40.724329,-73.997702,40.719527,-74.001775,Canal St,Prince St
17,R W,20,623,40.718383,-74.00046,40.713282,-74.006978,City Hall,Canal St
18,R W,624,20,40.713282,-74.006978,40.710668,-74.011029,Cortlandt St,City Hall
19,R W,22,624,40.710668,-74.011029,40.70722,-74.013342,Rector St,Cortlandt St
20,R W,635,22,40.70722,-74.013342,40.703087,-74.012994,Whitehall St-South Ferry,Rector St
21,R,620,635,40.703087,-74.012994,40.6941,-73.991777,Court St,Whitehall St-South Ferry
22,R,636,620,40.6941,-73.991777,40.69218,-73.985942,Jay St-MetroTech,Court St
23,B Q R,26,636,40.69218,-73.985942,40.690635,-73.981824,DeKalb Av,Jay St-MetroTech
24,D N R,617,26,40.690635,-73.981824,40.683666,-73.97881,Atlantic Av-Barclays Ctr,DeKalb Av
25,R,28,617,40.683666,-73.97881,40.677316,-73.98311,Union St,Atlantic Av-Barclays Ctr
26,R,608,28,40.677316,-73.98311,40.670847,-73.988302,4 Av-9 St,Union St
27,R,30,608,40.670847,-73.988302,40.665414,-73.992872,Prospect Av,4 Av-9 St
28,R,31,30,40.665414,-73.992872,40.660397,-73.998091,25 St,Prospect Av
29,D N R,32,31,40.660397,-73.998091,40.655144,-74.003549,36 St,25 St
30,R,33,32,40.655144,-74.003549,40.648939,-74.010006,45 St,36 St
31,R,34,33,40.648939,-74.010006,40.645069,-74.014034,53 St,45 St
32,N R,35,34,40.645069,-74.014034,40.641362,-74.017881,59 St,53 St
33,R,36,35,40.641362,-74.017881,40.634967,-74.023377,Bay Ridge Av,59 St
34,R,37,36,40.634967,-74.023377,40.629742,-74.02551,77 St,Bay Ridge Av
35,R,38,37,40.629742,-74.02551,40.622687,-74.028398,86 St,77 St
36,R,39,38,40.622687,-74.028398,40.616622,-74.030876,Bay Ridge-95 St,86 St
37,B Q,41,617,40.68446,-73.97689,40.67705,-73.972367,7 Av,Atlantic Av-Barclays Ctr
38,B Q S,42,41,40.67705,-73.972367,40.661614,-73.962246,Prospect Park,7 Av
39,Q,43,42,40.661614,-73.962246,40.655292,-73.961495,Parkside Av,Prospect Park
40,B Q,44,43,40.655292,-73.961495,40.650527,-73.962982,Church Av,Parkside Av
41,Q,45,44,40.650527,-73.962982,40.644031,-73.964492,Beverley Rd,Church Av
42,Q,46,45,40.644031,-73.964492,40.640927,-73.963891,Cortelyou Rd,Beverley Rd
43,B Q,47,46,40.640927,-73.963891,40.635082,-73.962793,Newkirk Plaza,Cortelyou Rd
44,Q,48,47,40.635082,-73.962793,40.62927,-73.961639,Avenue H,Newkirk Plaza
45,Q,49,48,40.62927,-73.961639,40.625039,-73.960803,Avenue J,Avenue H
46,Q,50,49,40.625039,-73.960803,40.617618,-73.959399,Avenue M,Avenue J
47,B Q,51,50,40.617618,-73.959399,40.60867,-73.957734,Kings Hwy,Avenue M
48,Q,52,51,40.60867,-73.957734,40.5993,-73.955929,Avenue U,Kings Hwy
49,Q,53,52,40.5993,-73.955929,40.595246,-73.955161,Neck Rd,Avenue U
50,B Q,54,53,40.595246,-73.955161,40.586896,-73.954155,Sheepshead Bay,Neck Rd
51,B Q,55,54,40.586896,-73.954155,40.577621,-73.961376,Brighton Beach,Sheepshead Bay
52,Q,56,55,40.577621,-73.961376,40.576312,-73.968501,Ocean Pkwy,Brighton Beach
53,F Q,57,56,40.576312,-73.968501,40.576127,-73.975939,W 8 St-NY Aquarium,Ocean Pkwy
54,D F N Q,58,57,40.576127,-73.975939,40.577422,-73.981233,Coney Island-Stillwell Av,W 8 St-NY Aquarium
55,D,60,59,40.646292,-73.994324,40.640914,-73.994304,Fort Hamilton Pkwy,9 Av
56,D,61,60,40.640914,-73.994304,40.63626,-73.994791,50 St,Fort Hamilton Pkwy
57,D,62,61,40.63626,-73.994791,40.631435,-73.995476,55 St,50 St
58,D,615,62,40.631435,-73.995476,40.626472,-73.996895,62 St,55 St
59,D,64,615,40.626472,-73.996895,40.619589,-73.998864,71 St,62 St
60,D,65,64,40.619589,-73.998864,40.613501,-74.00061,79 St,71 St
61,D,66,65,40.613501,-74.00061,40.607954,-74.001736,18 Av,79 St
62,D,67,66,40.607954,-74.001736,40.604556,-73.998168,20 Av,18 Av
63,D,68,67,40.604556,-73.998168,40.601875,-73.993728,Bay Pkwy,20 Av
64,D,69,68,40.601875,-73.993728,40.597704,-73.986829,25 Av,Bay Pkwy
65,D,70,69,40.597704,-73.986829,40.588841,-73.983765,Bay 50 St,25 Av
66,N,72,71,40.635064,-74.011719,40.631386,-74.005351,Fort Hamilton Pkwy,8 Av
67,N,615,72,40.631386,-74.005351,40.624842,-73.996353,New Utrecht Av,Fort Hamilton Pkwy
68,N,74,615,40.624842,-73.996353,40.620671,-73.990414,18 Av,New Utrecht Av
69,N,75,74,40.620671,-73.990414,40.61741,-73.985026,20 Av,18 Av
70,N,76,75,40.61741,-73.985026,40.611815,-73.981848,Bay Pkwy,20 Av
71,N,77,76,40.611815,-73.981848,40.603923,-73.980353,Kings Hwy,Bay Pkwy
72,N,78,77,40.603923,-73.980353,40.597473,-73.979137,Avenue U,Kings Hwy
73,N,79,78,40.597473,-73.979137,40.592721,-73.97823,86 St,Avenue U
74,J,81,80,40.700492,-73.828294,40.697418,-73.836345,111 St,121 St
75,J Z,82,81,40.697418,-73.836345,40.695178,-73.84433,104 St,111 St
76,J Z,83,82,40.695178,-73.84433,40.693879,-73.851576,Woodhaven Blvd,104 St
77,J,84,83,40.693879,-73.851576,40.692435,-73.86001,85 St-Forest Pkwy,Woodhaven Blvd
78,J Z,85,84,40.692435,-73.86001,40.691324,-73.867139,75 St-Elderts Ln,85 St-Forest Pkwy
79,J,86,85,40.691324,-73.867139,40.689941,-73.87255,Cypress Hills,75 St-Elderts Ln
80,J Z,87,86,40.689941,-73.87255,40.683194,-73.873785,Crescent St,Cypress Hills
81,J Z,88,87,40.683194,-73.873785,40.68141,-73.880039,Norwood Av,Crescent St
82,J,89,88,40.68141,-73.880039,40.679947,-73.884639,Cleveland St,Norwood Av
83,J Z,90,89,40.679947,-73.884639,40.678024,-73.891688,Van Siclen Av,Cleveland St
84,J,91,90,40.678024,-73.891688,40.676992,-73.898654,Alabama Av,Van Siclen Av
85,J Z,621,91,40.676992,-73.898654,40.679498,-73.904512,Broadway Junction,Alabama Av
86,J Z,93,621,40.679498,-73.904512,40.682893,-73.910456,Chauncey St,Broadway Junction
87,J,94,93,40.682893,-73.910456,40.68637,-73.916559,Halsey St,Chauncey St
88,J Z,95,94,40.68637,-73.916559,40.68963,-73.92227,Gates Av,Halsey St
89,J,96,95,40.68963,-73.92227,40.693342,-73.928814,Kosciuszko St,Gates Av
90,J M Z,97,96,40.693342,-73.928814,40.697207,-73.935657,Myrtle Av,Kosciuszko St
91,J M,98,97,40.697207,-73.935657,40.70026,-73.941126,Flushing Av,Myrtle Av
92,J M,99,98,40.70026,-73.941126,40.703869,-73.947408,Lorimer St,Flushing Av
93,J M,100,99,40.703869,-73.947408,40.70687,-73.953431,Hewes St,Lorimer St
94,J M Z,101,100,40.70687,-73.953431,40.708359,-73.957757,Marcy Av,Hewes St
95,J M Z,625,101,40.708359,-73.957757,40.718315,-73.987437,Delancey St-Essex St,Marcy Av
96,J Z,103,625,40.718315,-73.987437,40.72028,-73.993915,Bowery,Delancey St-Essex St
97,J Z,623,103,40.72028,-73.993915,40.718092,-73.999892,Canal St,Bowery
98,J Z,622,623,40.718092,-73.999892,40.713243,-74.003401,Chambers St,Canal St
99,J Z,628,622,40.713243,-74.003401,40.710374,-74.007582,Fulton St,Chambers St
100,J Z,107,628,40.710374,-74.007582,40.706476,-74.011056,Broad St,Fulton St
101,M,109,108,40.711396,-73.889601,40.706186,-73.895877,Fresh Pond Rd,Middle Village-Metropolitan Av
102,M,110,109,40.706186,-73.895877,40.704423,-73.903077,Forest Av,Fresh Pond Rd
103,M,111,110,40.704423,-73.903077,40.702762,-73.90774,Seneca Av,Forest Av
104,M,630,111,40.702762,-73.90774,40.69943,-73.912385,Myrtle-Wyckoff Avs,Seneca Av
105,M,113,630,40.69943,-73.912385,40.698664,-73.919711,Knickerbocker Av,Myrtle-Wyckoff Avs
106,M,114,113,40.698664,-73.919711,40.697857,-73.927397,Central Av,Knickerbocker Av
107,L,601,618,40.739777,-74.002578,40.737335,-73.996786,6 Av,8 Av
108,L,602,601,40.737335,-73.996786,40.734789,-73.99073,14 St-Union Sq,6 Av
109,L,118,602,40.734789,-73.99073,40.732849,-73.986122,3 Av,14 St-Union Sq
110,L,119,118,40.732849,-73.986122,40.730953,-73.981628,1 Av,3 Av
111,L,120,119,40.730953,-73.981628,40.717304,-73.956872,Bedford Av,1 Av
112,L,629,120,40.717304,-73.956872,40.714063,-73.950275,Lorimer St,Bedford Av
113,L,122,629,40.714063,-73.950275,40.714565,-73.944053,Graham Av,Lorimer St
