,from,to,total_ridership,distance
1,"(3, '30 Av')","(2, 'Astoria Blvd')",67022.20841006917,493.36693986447983
2,"(4, 'Broadway')","(3, '30 Av')",133269.76167397384,647.4550455024173
3,"(5, '36 Av')","(4, 'Broadway')",175590.44314841143,654.5439784163535
4,"(6, '39 Av-Dutch Kills')","(5, '36 Av')",186838.93347001224,511.7969345807722
5,"(613, 'Lexington Av/59 St')","(6, '39 Av-Dutch Kills')",186994.47654653405,3102.8378125086706
6,"(8, '5 Av/59 St')","(613, 'Lexington Av/59 St')",298124.0597881271,565.8513836262773
7,"(9, '57 St-7 Av')","(8, '5 Av/59 St')",276891.92458812584,615.9407680707807
8,"(10, '49 St')","(9, '57 St-7 Av')",152433.31091338198,605.3529034711722
11,"(13, '28 St')","(607, '34 St-Herald Sq')",30357540.784732595,457.179117672298
12,"(14, '23 St')","(13, '28 St')",31287197.005630866,469.25440698016763
13,"(602, '14 St-Union Sq')","(14, '23 St')",32837368.270720236,627.5541021617676
14,"(16, '8 St-NYU')","(602, '14 St-Union Sq')",61550765.92800063,625.9156660056764
15,"(17, 'Prince St')","(16, '8 St-NYU')",61842587.625182986,792.2811239067358
16,"(623, 'Canal St')","(17, 'Prince St')",62127226.66213078,634.7665019149707
17,"(20, 'City Hall')","(623, 'Canal St')",496391.50383188965,789.619813889649
20,"(635, 'Whitehall St-South Ferry')","(22, 'Rector St')",4387.757664857529,460.50452604425743
23,"(26, 'DeKalb Av')","(636, 'Jay St-MetroTech')",35864455.57491394,387.37413579488896
24,"(617, 'Atlantic Av-Barclays Ctr')","(26, 'DeKalb Av')",34669763.51938019,815.5253490390292
25,"(28, 'Union St')","(617, 'Atlantic Av-Barclays Ctr')",15210235.788551483,793.7504770419653
26,"(608, '4 Av-9 St')","(28, 'Union St')",14712593.817274934,842.1069351715529
27,"(30, 'Prospect Av')","(608, '4 Av-9 St')",8642573.744475935,716.6084208317451
28,"(31, '25 St')","(30, 'Prospect Av')",8085007.454414014,710.6333326688813
29,"(32, '36 St')","(31, '25 St')",7731965.202001282,743.7438969165682
30,"(33, '45 St')","(32, '36 St')",6096753.74947748,879.0759002949735
31,"(34, '53 St')","(33, '45 St')",5309360.539473728,548.3306392733974
32,"(35, '59 St')","(34, '53 St')",4385521.74872586,524.6542946506613
33,"(36, 'Bay Ridge Av')","(35, '59 St')",3039148.8039842052,848.9487242271445
34,"(37, '77 St')","(36, 'Bay Ridge Av')",2266384.064924923,608.2375902585264
35,"(38, '86 St')","(37, '77 St')",1745229.7574505087,821.4714303696119
36,"(39, 'Bay Ridge-95 St')","(38, '86 St')",539017.5869169802,706.085159284373
37,"(41, '7 Av')","(617, 'Atlantic Av-Barclays Ctr')",14997587.426668825,907.9486513512148
