Nearest_Stop,station_complex_id,location,Latitude,Longitude,borough,routes,ridership
"(613, 'Lexington Av/59 St')",A002,"(40.76266, -73.96725)",40.76266,-73.96725,M,"5,N,R,4,,W,6",10082907
"(8, '5 Av/59 St')",A006,"(40.76481, -73.97335)",40.76481,-73.97335,M,"N,R,W",3065515
"(9, '57 St-7 Av')",A010,"(40.76466, -73.98066)",40.76466,-73.98066,M,"N,R,Q,W",6579806
"(10, '49 St')",A013,"(40.7599, -73.98414)",40.7599,-73.98414,M,"N,R,W",4772207
"(607, '34 St-Herald Sq')",A022,"(40.74972, -73.98782)",40.74972,-73.98782,M,"F,M,N,R,Q,B,W,D",21372033
"(13, '28 St')",A027,"(40.74549, -73.98869)",40.74549,-73.98869,M,"R,W",2202544
"(14, '23 St')",A030,"(40.7413, -73.98934)",40.7413,-73.98934,M,"R,W",3735642
"(602, '14 St-Union Sq')",A034,"(40.73574, -73.98995)",40.73574,-73.98995,M,"5,N,R,Q,4,L,W,6",18401074
"(16, '8 St-NYU')",A038,"(40.73033, -73.99263)",40.73033,-73.99263,M,"R,W",3344797
"(17, 'Prince St')",A041,"(40.72433, -73.9977)",40.72433,-73.9977,M,"R,W",2715986
"(623, 'Canal St')",A043,"(40.71953, -73.99989)",40.71953,-73.99989,M,"J,N,R,Z,Q,W,6",8852617
"(20, 'City Hall')",A047,"(40.71328, -74.00698)",40.71328,-74.00698,M,"R,W",973887
"(22, 'Rector St')",A054,"(40.70722, -74.01334)",40.70722,-74.01334,M,"R,W",978780
"(103, 'Bowery')",A064,"(40.72028, -73.99391)",40.72028,-73.99391,M,"J,Z",768289
"(622, 'Chambers St')",A069,"(40.71324, -74.0034)",40.71324,-74.0034,M,"J,5,Z,4,,6",5188900
"(107, 'Broad St')",A083,"(40.70647, -74.01105)",40.70647,-74.01105,M,"J,Z",1080082
"(41, '7 Av')",B004,"(40.67705, -73.97237)",40.67705,-73.97237,BK,"Q,B",1950168
"(141, 'Park Pl')",B009,"(40.67477, -73.95763)",40.67477,-73.95763,BK,S,329942
"(42, 'Prospect Park')",B013,"(40.66161, -73.96225)",40.66161,-73.96225,BK,"Q,S,B",2151031
"(43, 'Parkside Av')",B014,"(40.65529, -73.96149)",40.65529,-73.96149,BK,Q,1278500
