,station_complex_id,location,Latitude,Longitude,Nearest_Stop,borough,routes,ridership,Connections
0,A002,"(40.76266, -73.96725)",40.76266,-73.96725,"(613, 'Lexington Av/59 St')",M,"5,N,R,4,,W,6",10082907,"[(6, '39 Av-Dutch Kills'), (8, '5 Av/59 St')]"
1,A006,"(40.76481, -73.97335)",40.76481,-73.97335,"(8, '5 Av/59 St')",M,"N,R,W",3065515,"[(613, 'Lexington Av/59 St'), (9, '57 St-7 Av')]"
2,A010,"(40.76466, -73.98066)",40.76466,-73.98066,"(9, '57 St-7 Av')",M,"N,R,Q,W",6579806,"[(8, '5 Av/59 St'), (10, '49 St')]"
3,A013,"(40.7599, -73.98414)",40.7599,-73.98414,"(10, '49 St')",M,"N,R,W",4772207,"[(9, '57 St-7 Av'), (611, 'Times Sq-42 St')]"
4,A022,"(40.74972, -73.98782)",40.74972,-73.98782,"(607, '34 St-Herald Sq')",M,"F,M,N,R,Q,B,W,D",21372033,"[(611, 'Times Sq-42 St'), (13, '28 St'), (609, '42 St-Bryant Pk'), (228, '23 St')]"
5,A027,"(40.74549, -73.98869)",40.74549,-73.98869,"(13, '28 St')",M,"R,W",2202544,"[(607, '34 St-Herald Sq'), (14, '23 St')]"
6,A030,"(40.7413, -73.98934)",40.7413,-73.98934,"(14, '23 St')",M,"R,W",3735642,"[(13, '28 St'), (602, '14 St-Union Sq')]"
7,A034,"(40.73574, -73.98995)",40.73574,-73.98995,"(602, '14 St-Union Sq')",M,"5,N,R,Q,4,L,W,6",18401074,"[(14, '23 St'), (16, '8 St-NYU'), (601, '6 Av'), (118, '3 Av'), (405, '23 St'), (407, 'Astor Pl')]"
8,A038,"(40.73033, -73.99263)",40.73033,-73.99263,"(16, '8 St-NYU')",M,"R,W",3344797,"[(602, '14 St-Union Sq'), (17, 'Prince St')]"
9,A041,"(40.72433, -73.9977)",40.72433,-73.9977,"(17, 'Prince St')",M,"R,W",2715986,"[(16, '8 St-NYU'), (623, 'Canal St')]"
10,A043,"(40.71953, -73.99989)",40.71953,-73.99989,"(623, 'Canal St')",M,"J,N,R,Z,Q,W,6",8852617,"[(17, 'Prince St'), (20, 'City Hall'), (103, 'Bowery'), (622, 'Chambers St'), (409, 'Spring St'), (622, 'Brooklyn Bridge-City Hall')]"
11,A047,"(40.71328, -74.00698)",40.71328,-74.00698,"(20, 'City Hall')",M,"R,W",973887,"[(623, 'Canal St'), (624, 'Cortlandt St')]"
12,A054,"(40.70722, -74.01334)",40.70722,-74.01334,"(22, 'Rector St')",M,"R,W",978780,"[(624, 'Cortlandt St'), (635, 'Whitehall St-South Ferry')]"
13,A064,"(40.72028, -73.99391)",40.72028,-73.99391,"(103, 'Bowery')",M,"J,Z",768289,"[(625, 'Delancey St-Essex St'), (623, 'Canal St')]"
14,A069,"(40.71324, -74.0034)",40.71324,-74.0034,"(622, 'Chambers St')",M,"J,5,Z,4,,6",5188900,"[(623, 'Canal St'), (628, 'Fulton St')]"
15,A083,"(40.70647, -74.01105)",40.70647,-74.01105,"(107, 'Broad St')",M,"J,Z",1080082,"[(628, 'Fulton St')]"
16,B004,"(40.67705, -73.97237)",40.67705,-73.97237,"(41, '7 Av')",BK,"Q,B",1950168,"[(617, 'Atlantic Av-Barclays Ctr'), (42, 'Prospect Park')]"
17,B009,"(40.67477, -73.95763)",40.67477,-73.95763,"(141, 'Park Pl')",BK,S,329942,"[(627, 'Franklin Av'), (626, 'Botanic Garden')]"
18,B013,"(40.66161, -73.96225)",40.66161,-73.96225,"(42, 'Prospect Park')",BK,"Q,S,B",2151031,"[(41, '7 Av'), (43, 'Parkside Av')]"
19,B014,"(40.65529, -73.96149)",40.65529,-73.96149,"(43, 'Parkside Av')",BK,Q,1278500,"[(42, 'Prospect Park'), (44, 'Church Av')]"
20,B016,"(40.65053, -73.96298)",40.65053,-73.96298,"(44, 'Church Av')",BK,"Q,B",3074675,"[(43, 'Parkside Av'), (45, 'Beverley Rd')]"
21,B017,"(40.64403, -73.96449)",40.64403,-73.96449,"(45, 'Beverley Rd')",BK,Q,758771,"[(44, 'Church Av'), (46, 'Cortelyou Rd')]"
22,B018,"(40.64093, -73.96389)",40.64093,-73.96389,"(46, 'Cortelyou Rd')",BK,Q,1245394,"[(45, 'Beverley Rd'), (47, 'Newkirk Plaza')]"
23,B019,"(40.63508, -73.96279)",40.63508,-73.96279,"(47, 'Newkirk Plaza')",BK,"Q,B",2060854,"[(46, 'Cortelyou Rd'), (48, 'Avenue H')]"
24,B020,"(40.62927, -73.96164)",40.62927,-73.96164,"(48, 'Avenue H')",BK,Q,618607,"[(47, 'Newkirk Plaza'), (49, 'Avenue J')]"
25,B021,"(40.62504, -73.9608)",40.62504,-73.9608,"(49, 'Avenue J')",BK,Q,1138567,"[(48, 'Avenue H'), (50, 'Avenue M')]"
26,B022,"(40.61762, -73.9594)",40.61762,-73.9594,"(50, 'Avenue M')",BK,Q,1149063,"[(49, 'Avenue J'), (51, 'Kings Hwy')]"
27,B024,"(40.60867, -73.95773)",40.60867,-73.95773,"(51, 'Kings Hwy')",BK,"Q,B",3968676,"[(50, 'Avenue M'), (52, 'Avenue U')]"
28,B025,"(40.5993, -73.95593)",40.5993,-73.95593,"(52, 'Avenue U')",BK,Q,1453513,"[(51, 'Kings Hwy'), (53, 'Neck Rd')]"
29,B026,"(40.59525, -73.95516)",40.59525,-73.95516,"(53, 'Neck Rd')",BK,Q,855036,"[(52, 'Avenue U'), (54, 'Sheepshead Bay')]"
30,B027,"(40.58689, -73.95415)",40.58689,-73.95415,"(54, 'Sheepshead Bay')",BK,"Q,B",2586491,"[(53, 'Neck Rd'), (55, 'Brighton Beach')]"
31,B029,"(40.57762, -73.96137)",40.57762,-73.96137,"(55, 'Brighton Beach')",BK,"Q,B",2350264,"[(54, 'Sheepshead Bay'), (56, 'Ocean Pkwy')]"
32,B032,"(40.57631, -73.9685)",40.57631,-73.9685,"(56, 'Ocean Pkwy')",BK,Q,681394,"[(55, 'Brighton Beach'), (57, 'W 8 St-NY Aquarium')]"
33,C008,"(40.69064, -73.98183)",40.69064,-73.98183,"(26, 'DeKalb Av')",BK,"R,Q,B",4046423,"[(636, 'Jay St-MetroTech'), (617, 'Atlantic Av-Barclays Ctr')]"
34,C010,"(40.67731, -73.98311)",40.67731,-73.98311,"(28, 'Union St')",BK,R,1489597,"[(617, 'Atlantic Av-Barclays Ctr'), (608, '4 Av-9 St')]"
35,C012,"(40.67085, -73.9883)",40.67085,-73.9883,"(608, '4 Av-9 St')",BK,"F,R,G,",2620923,"[(28, 'Union St'), (30, 'Prospect Av'), (238, 'Smith-9 Sts'), (240, '7 Av')]"
36,C014,"(40.66541, -73.99287)",40.66541,-73.99287,"(30, 'Prospect Av')",BK,R,1195885,"[(608, '4 Av-9 St'), (31, '25 St')]"
37,C016,"(40.6604, -73.99809)",40.6604,-73.99809,"(31, '25 St')",BK,R,764941,"[(30, 'Prospect Av'), (32, '36 St')]"
38,C018,"(40.65514, -74.00355)",40.65514,-74.00355,"(32, '36 St')",BK,"N,R,D",3264079,"[(31, '25 St'), (33, '45 St')]"
39,C019,"(40.64894, -74.01001)",40.64894,-74.01001,"(33, '45 St')",BK,R,1616474,"[(32, '36 St'), (34, '53 St')]"
40,C020,"(40.64507, -74.01403)",40.64507,-74.01403,"(34, '53 St')",BK,R,1866333,"[(33, '45 St'), (35, '59 St')]"
41,C021,"(40.64136, -74.01788)",40.64136,-74.01788,"(35, '59 St')",BK,"N,R",2641442,"[(34, '53 St'), (36, 'Bay Ridge Av')]"
42,C023,"(40.63497, -74.02338)",40.63497,-74.02338,"(36, 'Bay Ridge Av')",BK,R,1536734,"[(35, '59 St'), (37, '77 St')]"
43,C024,"(40.62974, -74.02551)",40.62974,-74.02551,"(37, '77 St')",BK,R,1041306,"[(36, 'Bay Ridge Av'), (38, '86 St')]"
44,C025,"(40.62269, -74.0284)",40.62269,-74.0284,"(38, '86 St')",BK,R,2321091,"[(37, '77 St'), (39, 'Bay Ridge-95 St')]"
45,C027,"(40.61662, -74.03088)",40.61662,-74.03088,"(39, 'Bay Ridge-95 St')",BK,R,1055522,"[(38, '86 St')]"
46,D002,"(40.63506, -74.01172)",40.63506,-74.01172,"(72, 'Fort Hamilton Pkwy')",BK,N,2358749,"[(71, '8 Av'), (615, 'New Utrecht Av')]"
48,D008,"(40.62067, -73.99042)",40.62067,-73.99042,"(74, '18 Av')",BK,N,1096000,"[(615, 'New Utrecht Av'), (75, '20 Av')]"
49,D009,"(40.61741, -73.98502)",40.61741,-73.98502,"(75, '20 Av')",BK,N,839800,"[(74, '18 Av'), (76, 'Bay Pkwy')]"
50,D010,"(40.61182, -73.98185)",40.61182,-73.98185,"(76, 'Bay Pkwy')",BK,N,1505458,"[(75, '20 Av'), (77, 'Kings Hwy')]"
51,D012,"(40.60392, -73.98035)",40.60392,-73.98035,"(77, 'Kings Hwy')",BK,N,1145003,"[(76, 'Bay Pkwy'), (78, 'Avenue U')]"
52,D015,"(40.59747, -73.97913)",40.59747,-73.97913,"(78, 'Avenue U')",BK,N,791909,"[(77, 'Kings Hwy'), (79, '86 St')]"
53,D016,"(40.59272, -73.97823)",40.59272,-73.97823,"(79, '86 St')",BK,N,535776,"[(78, 'Avenue U')]"
54,E001,"(40.64629, -73.99432)",40.64629,-73.99432,"(60, 'Fort Hamilton Pkwy')",BK,D,1212337,"[(59, '9 Av'), (61, '50 St')]"
56,E004,"(40.63626, -73.99479)",40.63626,-73.99479,"(61, '50 St')",BK,D,719878,"[(60, 'Fort Hamilton Pkwy'), (62, '55 St')]"
57,E005,"(40.63144, -73.99548)",40.63144,-73.99548,"(62, '55 St')",BK,D,403483,"[(61, '50 St'), (615, '62 St')]"
58,E006,"(40.62647, -73.99635)",40.62647,-73.99635,"(615, '62 St')",BK,"N,,D",1083870,"[(62, '55 St'), (64, '71 St')]"
59,E009,"(40.61959, -73.99886)",40.61959,-73.99886,"(64, '71 St')",BK,D,1031289,"[(615, '62 St'), (65, '79 St')]"
60,E011,"(40.6135, -74.00061)",40.6135,-74.00061,"(65, '79 St')",BK,D,1268790,"[(64, '71 St'), (66, '18 Av')]"
61,E012,"(40.60795, -74.00174)",40.60795,-74.00174,"(66, '18 Av')",BK,D,1265912,"[(65, '79 St'), (67, '20 Av')]"
62,E013,"(40.60456, -73.99817)",40.60456,-73.99817,"(67, '20 Av')",BK,D,1046509,"[(66, '18 Av'), (68, 'Bay Pkwy')]"
63,E014,"(40.60188, -73.99373)",40.60188,-73.99373,"(68, 'Bay Pkwy')",BK,D,1601611,"[(67, '20 Av'), (69, '25 Av')]"
64,E015,"(40.59771, -73.98683)",40.59771,-73.98683,"(69, '25 Av')",BK,D,900437,"[(68, 'Bay Pkwy'), (70, 'Bay 50 St')]"
65,E016,"(40.58884, -73.98376)",40.58884,-73.98376,"(70, 'Bay 50 St')",BK,D,570569,"[(69, '25 Av')]"
66,G009,"(40.57742, -73.98123)",40.57742,-73.98123,"(58, 'Coney Island-Stillwell Av')",BK,"F,N,Q,D",3076719,"[(57, 'W 8 St-NY Aquarium')]"
67,G011,"(40.57613, -73.97594)",40.57613,-73.97594,"(57, 'W 8 St-NY Aquarium')",BK,"F,Q",597066,"[(56, 'Ocean Pkwy'), (58, 'Coney Island-Stillwell Av')]"
68,H006,"(40.73285, -73.98612)",40.73285,-73.98612,"(118, '3 Av')",M,L,1454562,"[(602, '14 St-Union Sq'), (119, '1 Av')]"
69,H007,"(40.73095, -73.98163)",40.73095,-73.98163,"(119, '1 Av')",M,L,5402762,"[(118, '3 Av'), (120, 'Bedford Av')]"
70,H009,"(40.7173, -73.95687)",40.7173,-73.95687,"(120, 'Bedford Av')",BK,L,7324227,"[(119, '1 Av'), (629, 'Lorimer St')]"
71,H012,"(40.71406, -73.95027)",40.71406,-73.95027,"(629, 'Lorimer St')",BK,"G,,L",3510463,"[(120, 'Bedford Av'), (122, 'Graham Av')]"
72,H013,"(40.71457, -73.94405)",40.71457,-73.94405,"(122, 'Graham Av')",BK,L,1950857,"[(629, 'Lorimer St'), (123, 'Grand St')]"
73,H015,"(40.71193, -73.94067)",40.71193,-73.94067,"(123, 'Grand St')",BK,L,1428619,"[(122, 'Graham Av'), (124, 'Montrose Av')]"
